90132
1,4011
1,11575
1,34337
3,53079
5,35459
5,9119
7,36397
7,45983
9,55479
9,57015
11,6751
13,43315
13,11835
13,5701
13,11565
13,13771
15,36985
17,5961
17,9205
17,29903
19,28053
19,57707
19,8303
19,15239
19,33025
21,35931
21,45943
21,9917
21,58663
21,50951
21,55247
21,37861
23,5415
23,15857
25,34953
25,31987
27,52465
27,48493
29,52901
29,25751
29,22691
31,56707
31,9863
31,26375
33,27549
33,38721
33,11321
35,41207
35,10115
37,30633
39,26321
39,527
39,30011
39,22643
39,30977
41,30275
41,51823
43,45431
43,22219
43,47133
45,33699
47,41027
47,20555
51,20803
51,53945
53,9571
53,48955
55,57133
57,14481
59,50475
59,13319
59,2941
61,34169
61,23849
61,5023
61,59057
63,21983
63,16435
63,29099
63,10079
63,23517
65,2251
65,14635
67,59089
69,59353
69,17153
69,46409
71,617
71,48333
71,50131
71,11997
73,34587
73,34645
75,8475
75,14513
75,40621
75,26185
75,10427
77,11789
77,18105
77,31601
77,17021
79,22981
79,19117
79,10407
79,45023
81,7443
81,11787
81,32755
83,29833
85,46487
85,35797
85,21721
85,10043
87,20059
87,11113
87,24273
87,4167
87,52757
89,1419
89,15021
89,34567
91,8583
91,23523
93,13251
93,47741
93,15097
93,39211
95,29905
95,43851
95,36041
97,28415
97,30577
97,23267
99,1605
99,17879
99,6777
99,55527
101,49171
101,55205
105,45939
105,41563
105,36505
105,16221
107,27145
107,18397
107,42437
109,10145
111,13427
111,17887
111,2939
113,51529
113,52635
113,53831
113,34751
113,43021
115,52941
115,19823
115,54079
115,28525
115,46289
117,23789
117,9947
117,34827
117,43153
117,38621
119,6715
121,49149
121,55317
121,8353
121,25811
123,56017
123,31919
123,27415
123,52485
123,6603
125,20239
125,57327
127,2063
127,781
127,3109
127,30761
127,33199
129,41759
129,53631
129,41159
129,20109
129,49901
131,50493
133,16045
135,37027
135,8967
135,22593
135,19885
135,477
135,29663
137,48107
137,25565
139,30917
139,19587
139,21759
139,27811
139,46485
139,54989
139,44357
139,6089
141,34925
141,28503
141,28395
143,27161
143,38619
143,35233
143,36265
143,17181
143,43039
145,50241
145,9375
147,44799
147,41713
147,47787
147,23085
147,4577
149,16585
149,10317
149,55575
149,39001
149,47055
149,8793
151,27337
151,10019
153,33941
155,8245
155,4039
155,54183
155,3885
159,24947
159,48977
159,32537
159,44305
159,8651
159,44545
159,47899
161,37387
161,23209
161,37239
163,16697
165,25893
165,59987
165,33379
165,3285
167,19479
167,34483
171,52587
173,18461
