1,2987,8393
3,763,5321
5,6305,8044
7,9156,1029
9,2296,8651
11,3447,6300
13,3862,4247
15,6088,2359
17,4871,9112
19,2937,2926
21,5674,2766
23,1856,4362
25,665,3951
27,1706,2309
29,3366,3137
31,9144,2193
33,7808,6406
35,3832,5777
37,949,5727
39,5647,9512
41,9505,6303
43,5585,8764
45,2213,5501
47,3315,3767
49,8467,1685
51,9160,5530
53,38,8844
55,7192,45
57,894,829
59,3407,6055
61,5849,1301
63,1,4871
65,653,3240
67,3579,3149
69,9905,1405
71,9301,5512
73,7340,6093
75,8259,2509
77,4965,5795
79,5435,688
81,1049,65
83,2273,8019
85,5307,8383
87,269,9576
89,470,9568
91,6910,5396
93,6830,1763
95,5864,5714
97,6517,6258
99,6329,5968
101,5881,4843
103,2090,9562
105,3546,585
107,2385,3922
109,1674,558
111,9395,9849
113,5469,4463
115,9574,301
117,7055,748
119,3732,5102
121,3205,1770
123,8043,8126
125,8827,9343
127,8162,3621
129,9469,7034
131,6246,4606
133,7089,6172
135,3091,2802
137,9201,6583
139,5182,831
141,3655,6017
143,9903,4036
145,8338,9429
147,3740,6908
149,4709,3974
151,4960,212
153,8318,8881
155,6650,3803
157,1923,8174
159,7938,4325
161,5912,2002
163,2550,7643
165,7678,581
167,307,7859
169,8421,6395
171,319,872
173,8098,4033
175,8691,9030
177,6972,7461
179,5702,8132
181,4400,7778
183,629,2542
185,8917,8695
187,6607,3565
189,7018,8899
191,5708,8566
193,3371,1728
195,8109,3164
197,3986,9497
199,846,7890
201,6345,2408
203,1368,7473
205,8862,6112
207,1236,3954
209,7232,6740
211,9946,6873
213,5158,195
215,2551,47
217,6703,6097
219,9117,4970
221,8820,4083
223,1444,4731
225,8249,8022
227,3374,8435
229,4114,9964
231,6808,5347
233,1554,3972
235,1469,7039
237,4159,2085
239,3701,3486
241,4898,7623
243,3354,9376
245,5290,2510
247,4475,2380
249,8496,1603
251,5017,7045
253,9077,1889
255,2047,7657
257,1815,8857
259,9934,7222
261,6834,9699
263,3174,5257
265,8516,1233
267,8065,7396
269,2809,6065
271,3690,2411
273,9829,4192
275,2699,2748
277,9408,8757
279,4628,6873
281,5467,3185
283,1175,2930
285,1312,8097
287,6367,2835
289,6104,4781
291,2113,1960
293,2871,3857
295,3979,5529
297,2705,4933
299,202,8262
301,4544,6266
303,4871,4752
305,7309,7284
307,8385,6369
309,1180,3647
311,2998,4217
313,3252,4959
315,7658,6518
317,9451,3560
319,9355,8543
321,6161,4886
323,8187,9917
325,8355,5722
327,6156,5415
329,224,2210
331,1018,6744
333,7128,9268
335,817,4543
337,7583,8919
339,2368,9955
341,6593,4925
343,6933,5921
345,1120,6449
347,1960,8435
349,4297,2697
351,9284,7023
353,9621,5224
355,6944,441
357,7819,6403
359,4235,998
361,1971,5661
363,5382,2974
365,3877,6370
367,3659,4573
369,9871,5501
371,8683,9286
373,3077,9574
375,7014,4292
377,2019,9659
379,83,6031
381,8494,7561
383,3296,8183
385,7913,8535
387,1155,7265
389,8548,5615
391,3662,5195
393,5966,9355
395,4609,8892
397,7995,1704
399,1146,3261
401,928,6073
403,9911,351
405,5355,6459
407,2188,3255
409,5328,2128
411,7520,6349
413,5695,1051
415,2242,3165
417,9393,5607
419,8969,951
421,6224,2547
423,5096,6537
425,8694,1614
427,6321,1879
429,958,5947
431,6496,9492
433,2679,5697
435,7192,5616
437,8231,5394
439,2348,750
441,4140,7798
443,6275,4049
445,6318,6515
447,8430,3250
449,576,651
451,582,6273
453,8293,4978
455,7070,8005
457,2831,8539
459,7736,465
461,3122,3806
